pl_name,pl_bmasse,pl_rade,pl_orbper,pl_eqt,st_mass,st_rad,st_teff
"Kepler-109 c",8.20000000,2.65000000,21.22265000000,859.00,1.094000,1.387000,5950.00
"Kepler-1397 b",,1.72000000,47.44995500000,,1.090000,1.120000,6026.00
"WTS-2 b",355.96960000,15.27786700,1.01870680000,2000.00,0.820000,0.752000,5000.00
"TIC 160113658 b",,3.49015778,6.72952262077,,,0.789834,4817.31
"HAT-P-44 b",111.87100000,13.92200000,4.30121900000,1108.00,0.942000,0.949000,5295.00
"K2-75 b",,2.67000000,7.81420000000,,1.160000,1.560000,5995.00
"Kepler-1945 b",,1.28900000,6.08003997800,,0.767000,0.804000,4991.00
"TOI-1789 b",222.47988490,16.14093221,3.20866400000,1927.00,1.507000,2.168000,5991.00
"Kepler-1092 b",,2.07000000,58.60179250000,,0.990000,1.000000,5862.00
"K2-186 b",,3.17207779,41.47421900000,,1.018617,0.980830,5784.00
"Kepler-1497 b",,1.66000000,8.74199772000,,0.960000,0.950000,5675.00
"Kepler-1193 b",,1.32000000,2.83265213400,,1.080000,1.210000,5908.00
"Kepler-15 b",209.76000000,10.76000000,4.94278200000,,1.018000,0.992000,5515.00
"TOI-3464 b",397.28550875,13.76462830,3.65155680000,1693.00,1.363000,1.560000,6370.00
"Kepler-201 c",,2.85000000,151.88405800000,,,1.229000,6065.00
"Kepler-29 b",5.00000000,2.55000000,10.33974000000,,0.761000,0.732000,5378.00
"Kepler-233 c",,2.71000000,60.41895500000,,,0.758000,5360.00
"K2-254 c",,2.19000000,12.11839000000,551.00,0.710000,0.670000,4629.00
"TOI-4137 b",457.67290608,13.57407563,3.80161220000,1570.00,1.313000,1.438000,6202.00
"Kepler-918 b",,1.74000000,4.85386933000,,1.110000,1.140000,6028.00
"Kepler-46 b",1907.00000000,9.05700000,33.60134000000,543.00,0.902000,0.938000,5155.00
"Kepler-82 d",,1.77000000,2.38296100000,,,0.945000,5428.00
"Kepler-82 e",,2.47000000,5.90220600000,,,0.945000,5428.00
"Kepler-338 b",,2.44000000,13.72697600000,,,1.735000,5923.00
"Kepler-247 c",,4.09000000,9.43945200000,,,0.768000,5100.00
"Kepler-414 c",29.90000000,3.01000000,7.17100000000,,0.890000,0.946000,
"bet Pic d",762.78817680,14.12331568,33200.00000000000,600.00,1.789000,,
"Kepler-1976 b",,12.21000000,4.95931924400,1103.00,0.976000,1.082000,5712.00
"Kepler-411 c",26.40000000,4.42100000,7.83443500000,838.00,0.870000,0.820000,
"Kepler-411 d",15.20000000,3.31900000,58.02035000000,410.00,0.870000,0.820000,
"CoRoT-8 b",69.92000000,6.39000000,6.21229000000,,0.880000,0.770000,5080.00
"Kepler-546 b",,7.00000000,4.14702025800,,1.110000,1.150000,5967.00
"HATS-7 b",38.13960000,6.31066700,3.18531500000,1084.00,0.849000,0.815000,4985.00
"TOI-6954 b",,3.63524486,4.02074127419,,,0.947112,5170.87
"MASCARA-1 b",,17.90074218,2.14877381000,2594.30,1.900000,2.082000,7490.00
"TOI-5800 b",9.50000000,2.46000000,2.62788380000,1108.00,0.778000,0.773000,4850.00
"Kepler-1518 b",,3.05000000,5.11177904000,,1.540000,1.880000,6846.00
"K2-320 b",,2.62000000,1.99500000000,698.00,0.117000,0.300000,3157.00
"Kepler-1953 b",,1.28574667,6.24565982800,,0.786000,0.707000,4858.00
"Kepler-324 b",,1.14000000,4.38531500000,,,0.840000,5194.00
"TOI-880.02",,2.19000000,2.57571000000,1085.00,0.870000,0.830000,5050.00
"Kepler-375 c",,2.65000000,19.98632600000,,,0.837000,5826.00
"HD 101581 b",,0.95600000,4.46569000000,834.00,0.653000,0.630000,4675.00
"EPIC 229004835 b",10.40000000,2.33200000,16.14113200000,804.00,0.970000,0.999000,5868.00
"Kepler-1334 b",,2.29000000,15.64591713000,,0.940000,0.910000,5614.00
"Kepler-337 c",,2.05000000,9.69320100000,,,1.761000,5684.00
"WASP-147 b",87.40325000,12.49803500,4.60273000000,1404.00,1.044000,1.429000,5702.00
"TOI-3593 b",565.73456446,11.02963701,3.82128670000,1170.00,1.015000,0.918000,5550.00
"Kepler-999 b",,2.34000000,5.99185701700,,1.290000,1.650000,6237.00
"TOI-2443 b",4.80000000,2.36300000,15.66858000000,519.00,0.642000,0.631000,4375.00
"Kepler-722 b",,2.63000000,4.09357325200,,1.030000,1.050000,5863.00
"Kepler-11 f",2.00000000,2.49000000,46.68880000000,,0.961000,1.065000,5663.00
"Kepler-1226 b",,1.45000000,17.29234530000,,1.020000,1.020000,5923.00
"TIC 437041147 b",,2.21526814,3.82301421497,,,0.961092,5224.36
"K2-83 b",,1.24400000,2.74697000000,,0.484000,0.424000,3910.00
"Kepler-731 b",,13.88000000,3.85560355100,,1.030000,1.060000,5849.00
"Kepler-561 b",,6.96000000,58.36204950000,,0.960000,0.940000,5646.00
"K2-138 g",4.32000000,3.01300000,41.96797000000,,0.935000,0.863000,5356.30
"HIP 29442 d",5.14000000,1.53800000,6.42957500000,920.00,0.901000,0.980000,5289.00
"Kepler-978 b",,2.99000000,49.62215090000,,1.070000,1.090000,6002.00
"Kepler-338 d",,3.00000000,44.43101400000,,,1.735000,5923.00
"Kepler-138 b",0.07000000,0.64000000,10.31340000000,452.00,0.535000,0.535000,3841.00
"Kepler-138 c",2.30000000,1.51000000,13.78150000000,410.00,0.535000,0.535000,3841.00
"Kepler-138 d",2.10000000,1.51000000,23.09230000000,345.00,0.535000,0.535000,3841.00
"Kepler-1933 b",,1.17984089,4.94329023400,,0.964000,1.008000,5661.00
"Kepler-1101 b",,2.47000000,81.31510590000,,0.940000,0.910000,5614.00
"Kepler-292 d",,2.23000000,7.05567900000,,,0.826000,5299.00
"HATS-53 b",189.10885000,15.02006000,3.85377680000,1312.00,0.964000,1.101000,5644.00
"Kepler-260 b",,2.01000000,8.18739900000,,,0.862000,5250.00
"TOI-4156 b",,2.53823825,4.46189034133,,,1.039630,5971.64
"Kepler-347 c",,1.75000000,27.32087100000,,,1.005000,6088.00
"WASP-37 b",572.07000000,13.00200000,3.57746900000,,0.925000,1.003000,5800.00
"Kepler-335 c",,3.07000000,67.84446900000,,,1.854000,5877.00
"KOI-3503 c",10.36000000,1.21000000,31.82800000000,686.00,0.858000,1.255000,6001.00
"WASP-46 b",607.05530000,13.15936600,1.43036763000,1636.00,0.828000,0.858000,5600.00
"Kepler-1507 b",,0.84000000,16.05062130000,,0.890000,0.850000,5410.00
"K2-273 b",,3.05000000,11.71956630000,849.00,0.890000,0.850000,5161.00
"TOI-1221 b",1112.39942450,2.91000000,91.68278000000,440.00,0.930000,1.031000,5592.00
"Kepler-253 d",,3.17000000,18.11986900000,,,0.786000,5208.00
"CoRoT-4 b",228.83000000,13.34000000,9.20205000000,1074.00,1.160000,1.170000,6190.00
"TOI-3894 b",260.61929374,15.27784069,4.33454000000,1531.00,1.138000,1.502000,6000.00
"Kepler-1038 b",,3.53000000,148.46033820000,,0.870000,0.830000,5335.00
"Kepler-846 b",,2.48000000,19.80792185000,,0.940000,0.910000,5579.00
"Kepler-866 b",,1.63000000,2.61703253600,,0.750000,0.710000,4751.00
"TOI-2411 b",,1.68000000,0.78269420000,1355.00,0.650000,0.680000,4099.00
"Kepler-301 c",,1.35000000,5.41902600000,,,0.900000,5815.00
"K2-409 b",,2.48200000,1.90808400000,,0.886000,1.228000,5742.00
"Kepler-37 d",2.00000000,2.03000000,39.79226220000,499.00,0.790000,0.789000,5357.00
"TIC 46432937 b",1017.05090240,13.31626907,1.44044527000,872.00,0.563000,0.529900,3572.00
"Kepler-560 b",,1.72000000,18.47764449000,,0.340000,0.330000,3556.00
"Kepler-1921 c",,1.41000000,3.15722086000,1791.00,1.251000,2.000000,6120.00
"TOI-5292 A b",412.85910069,12.64373023,2.02191000000,809.00,0.596000,0.611000,3919.00
"TOI-1883 b",13.70000000,5.65000000,4.50800000000,544.00,0.495000,0.506000,3554.00
"TOI-1272 b",24.10000000,4.26000000,3.31597650000,1051.00,0.828000,0.800000,4985.00
"TOI-1064 b",13.50000000,2.58700000,6.44386800000,784.00,0.748000,0.726000,4734.00
"Kepler-841 b",,5.23000000,124.41983980000,,0.850000,0.810000,5324.00
"TOI-5605 b",,2.52611303,5.91340454843,,,0.736044,4583.79
"Kepler-186 e",,1.27000000,22.40770400000,,0.478000,0.472000,3788.00
"Kepler-1987 d",,2.66000000,5.64491415400,744.00,0.799000,0.714000,4769.00
"Kepler-1233 b",,2.60000000,45.12630420000,,1.160000,1.250000,6198.00
"Kepler-205 b",,1.51000000,2.75564000000,,,0.546000,4321.00
"Kepler-549 c",,2.93000000,117.04049800000,,0.880000,0.840000,5360.00
"Kepler-1221 b",,1.88000000,12.00096042000,,0.870000,0.820000,5194.00
"Kepler-1836 b",,2.55303229,5.25416994100,,1.053000,0.987000,6123.00
"Kepler-257 b",,2.61000000,2.38266700000,,,1.037000,5180.00
"Kepler-42 b",,0.78000000,1.21376720000,519.00,0.130000,0.170000,3068.00
"Kepler-44 b",317.82000000,12.22000000,3.24672930000,1544.00,1.120000,1.350000,5800.00
"Kepler-425 b",79.45000000,10.96200000,3.79701816000,1070.00,0.930000,0.860000,5170.00
"Kepler-1912 b",,1.35670508,6.05921983700,,0.977000,0.962000,5734.00
"Kepler-336 d",,2.37000000,20.67877200000,,,1.304000,5867.00
"Kepler-1258 b",,0.86000000,0.98494016700,,0.990000,0.990000,5839.00
"Kepler-132 b",,1.21000000,6.17819600000,,,1.178000,6003.00
"TOI-5174 b",,5.35100000,12.21428600000,,1.000000,1.094570,5643.77
"WASP-97 b",432.24880000,12.77826000,2.07276000000,,1.180000,1.080000,5640.00
"Kepler-1646 b",,1.23000000,4.48558383000,,0.240000,0.260000,3299.00
"HD 63433 c",15.53900000,2.69200000,20.54382810000,678.92,0.956000,0.934000,5553.00
"K2-342 b",,2.03000000,11.56105200000,861.00,1.010000,1.090000,5920.00
"Kepler-188 c",,3.19000000,5.99655300000,,,1.141000,6021.00
"Kepler-1096 b",,1.24000000,2.89221750600,,0.660000,0.630000,4306.00
"Kepler-111 c",222.47988490,7.08407580,224.77833000000,352.20,1.118000,1.145000,5914.00
"Kepler-284 b",,2.24000000,12.69914900000,,,0.814000,5615.00
"HATS-52 b",711.93920000,15.49083800,1.36665436000,1834.00,1.111000,1.046000,6010.00
"Kepler-131 b",16.13000000,2.41000000,16.09200000000,,1.020000,1.030000,5685.00
"Kepler-1241 b",,2.63000000,18.55257010000,,0.840000,0.800000,5261.00
"TOI-2498 b",34.62000000,6.06000000,3.73825200000,1443.00,1.120000,1.260000,5905.00
"WASP-1 b",271.41500000,16.62300000,2.51994540000,,1.240000,1.470000,
"OGLE-TR-111 b",,11.42197100,4.01444630000,,,0.830000,
"Kepler-361 c",,2.52000000,55.18802300000,,,1.343000,6169.00
"K2-136 b",4.30000000,1.01400000,7.97525000000,610.00,0.742000,0.677000,4500.00
"K2-136 c",18.10000000,3.00000000,17.30723000000,470.00,0.742000,0.677000,4500.00
"LHS 1678 d",,0.98100000,4.96522290000,,0.345000,0.329000,3490.00
"WASP-157 b",,11.19000000,3.95162300000,1193.00,1.060000,1.100000,5772.00
"EPIC 201833600 c",,1.00000000,3.96151000000,,0.611000,,
"Kepler-93 b",4.66000000,1.47800000,4.72673978000,1133.00,0.911000,0.919000,5669.00
"TOI-220 b",13.80000000,3.03000000,10.69526400000,805.00,0.825000,0.858000,5298.00
"Kepler-511 b",,6.35000000,296.63786500000,,1.000000,1.200000,5770.00
"K2-151 b",,1.49000000,3.83547600000,566.00,0.470000,0.450000,3695.00
"Kepler-426 b",108.06000000,12.22000000,3.21751883000,1300.00,0.910000,0.920000,5725.00
"TOI-6054.02",9.30000000,2.82000000,12.56363600000,1143.00,1.107000,1.662000,6047.00
"TOI-5795 b",23.66000000,5.62000000,6.14063250000,1136.78,0.901000,1.082000,5715.00
"TOI-1443 b",30.00000000,2.30381001,23.54067800000,520.66,0.766300,0.751100,5224.00
"Kepler-1717 b",,2.98929758,30.65279961000,,1.158000,1.640000,6200.00
"TOI-4329 b",143.02278315,16.81347105,2.92230000000,,1.538000,2.310000,6000.00
"Kepler-784 c",,1.55000000,17.15723600000,844.00,1.016000,1.487000,5676.00
"Kepler-1972 b",2.02000000,0.80200000,7.54425000000,,1.120000,1.384000,5818.00
"HD 100546 b",2701.54145950,77.34210000,,,2.400000,,10500.00
"Kepler-238 e",169.70000000,5.60000000,23.65400000000,,1.060000,0.960000,
"Kepler-993 b",,2.97000000,22.08557563000,,0.570000,0.540000,3843.00
"OGLE-TR-132 b",375.02000000,13.45000000,1.68986800000,2013.00,1.305000,1.320000,6210.00
"TOI-4342 c",4.80000000,2.34900000,10.68866200000,514.00,0.587000,0.598000,3866.00
"Kepler-1761 b",,1.39109603,4.04354000100,,0.573000,0.532000,3871.00
"Kepler-865 c",,0.89000000,6.20920207000,914.00,0.782000,0.885000,5440.00
"K2-59 b",,2.41000000,20.69210000000,,0.774000,0.731000,5055.00
"Kepler-1062 b",,1.76000000,9.30412078000,,0.750000,0.700000,4597.00
"Kepler-809 b",,3.01000000,55.63934000000,,0.990000,0.980000,5734.00
"Kepler-941 b",,3.08000000,17.42395198000,,0.890000,0.860000,5539.00
"TOI-5799 b",,1.73300000,4.16450700000,505.00,0.325000,0.321000,3452.00
"Kepler-1400 b",,1.62000000,9.06689421000,,0.830000,0.780000,5044.00
"HAT-P-20 b",2302.89900000,9.71800000,2.87531700000,970.00,0.756000,0.694000,4595.00
"Kepler-920 c",,3.80000000,100.82741130000,,0.890000,0.850000,5403.00
"Kepler-1505 b",,0.93000000,30.86093660000,,0.930000,0.860000,5686.00
"Kepler-545 b",,2.69000000,13.24934059000,,1.040000,1.070000,5882.00
"TOI-1438 b",9.40000000,3.04000000,5.13967000000,971.00,0.876000,0.820000,5230.00
"HATS-3 b",340.38200000,15.48000000,3.54785100000,1648.00,1.209000,1.404000,6351.00
"HD 135694 b",,2.85700000,15.92347556800,,1.020000,1.080000,5712.00
"Kepler-374 c",,1.10000000,3.28280700000,,,0.911000,5977.00
"TOI-2200 b",,6.96310517,2.93602836512,,,0.826247,5036.17
"TOI-205 b",,2.50121142,4.25300773815,,,1.453820,6302.74
"Kepler-1547 b",,0.90000000,0.69297967600,,1.120000,1.180000,6078.00
"Kepler-1181 c",,1.83000000,8.93484887000,1124.00,1.336000,1.347000,6688.00
"EPIC 220674823 c",7.90000000,2.71200000,13.34060300000,838.00,0.913000,0.990000,5578.00
"Kepler-1471 c",,1.88000000,11.60448810000,841.00,0.934000,1.166000,5533.00
"WASP-197 b",403.32424848,14.44837612,5.16722800000,1665.00,1.360000,2.112000,6050.00
"Kepler-1279 b",,1.75000000,23.47741010000,,1.210000,1.330000,6221.00
"Kepler-1438 b",,0.94000000,2.31942009000,,0.970000,0.960000,5530.00
"Kepler-446 b",,1.50000000,1.56540900000,,0.220000,0.240000,3359.00
"Kepler-1197 b",,1.25000000,2.03231845000,,0.780000,0.720000,4708.00
"Kepler-113 b",11.70000000,1.82000000,4.75400000000,,0.750000,0.690000,4725.00
"Kepler-10 c",11.29000000,2.35500000,45.29430100000,579.00,0.910000,1.065000,5708.00
"Kepler-1963 b",,0.74437023,1.96226000800,,0.915000,0.979000,5726.00
"Kepler-357 b",,1.84000000,6.47543400000,,,0.834000,5036.00
"WASP-24 b",394.10920000,15.46842000,2.34121000000,,1.430000,1.420000,6075.00
"TOI-3261 b",30.30000000,3.82000000,0.88313310000,1722.00,0.861000,0.849000,5068.00
"Kepler-223 c",5.10000000,3.44000000,9.84564000000,,1.125000,1.720000,
"Kepler-1417 b",,1.00000000,20.35052130000,,1.020000,1.020000,5839.00
"Kepler-755 b",,1.76000000,1.26909037400,,0.820000,0.770000,5043.00
"Kepler-390 b",,0.82000000,6.73808800000,,,0.776000,5166.00
